Unnamed: 0.1,Unnamed: 0,commentId,channelId,videoId,authorId,textOriginal,parentCommentId,likeCount,publishedAt,updatedAt,duplicatedFlag,cleanedText,cleanedTextSentiment,predictedSpam,isSpam,is_english,relevance_score,negative,neutral,positive,correctedText,aspect,sentiment
10,38,948221,48408,32889,1917739,Grabe super ganda mo!,,0,2020-01-05 10:40:25+00:00,2020-01-05 10:40:25+00:00,0,grabe super ganda mo,grabe super ganda mo,0.0,0,1,0.28831115,0.040190194,0.061330777,0.89847904,grabe super ganda mo.,['grabe'],['Neutral']
11,39,1972696,50116,27029,1491154,Awesome buddy 👌👌,,2,2020-01-05 10:57:46+00:00,2020-01-05 10:57:46+00:00,0,awesome buddy,awesome buddy : OK_hand : :OK_hand :,0.0,0,1,-0.006900249,0.008611457,0.021166207,0.97022235,buddy.,[],[]
12,41,1120420,50116,27029,1509941,Nice video bhai 🤙😘😘,,1,2020-01-05 11:47:59+00:00,2020-01-05 11:47:59+00:00,0,nice video bhai,nice video bhai : call_me_hand : :face_blowing_a_kiss : :face_blowing_a_kiss :,0.0,0,1,0.13737719,0.036297187,0.16139978,0.8023031,nice video bhai.,['video'],['Positive']
13,42,1124322,48408,32889,567273,Hug to hug? 😊,,0,2020-01-05 12:46:28+00:00,2020-01-05 12:46:28+00:00,0,hug hug,hug hug : smiling_face_with_smiling_eyes :,0.0,0,1,0.092418715,0.29545707,0.30470076,0.39984214,hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug hug,[],[]
14,43,2381019,48408,32889,1627210,Anong brand po nung eyelash tape?,,0,2020-01-05 13:57:34+00:00,2020-01-05 13:57:34+00:00,0,anong brand po nung eyelash tape,anong brand po nung eyelash tape,0.0,0,1,0.4378565,0.5561905,0.2627815,0.18102801,brand name po nung eyelash tape.,[],[]
15,51,4543852,50116,27029,2918847,All the best 🤘💓,,2,2020-01-05 19:47:32+00:00,2020-01-05 19:47:32+00:00,0,best,best : sign_of_the_horns : :beating_heart :,0.0,0,1,0.14659621,0.011070777,0.03967451,0.9492547,"Best of all, the best of the best.",[],[]
16,54,4,48408,32889,1057295,Victoria glipo thank youvictoria! 💕,717716.0,1,2020-01-05 20:19:55+00:00,2020-01-05 20:19:55+00:00,0,victoria glipo thank youvictoria,victoria glipo thank youvictoria : two_hearts :,0.0,0,1,0.32547677,0.11247195,0.13242689,0.75510114,victoria glipo thank youvictoria glipo thank youvictoria glipo thank youvictoria glipo thank youvictoria glipo thank youvictoria glipo thank youvictoria glipo thank you,['victoria glipo'],['Positive']
17,55,8,48408,32889,1057295,C' Bella thank you soooo much!! 😭💕 love you!,1546711.0,0,2020-01-05 20:20:15+00:00,2020-01-05 20:20:15+00:00,0,c bella thank soo much love,c bella thank soo much : loudly_crying_face : :two_hearts : love,0.0,0,1,0.23081873,0.01874295,0.04896075,0.93229634,thank you soo much love.,[],[]
18,77,2723360,1503,81922,3325747,"Hi dear....Simple n gorgeous makeup look k liye aap awesome ho my dear Sneha.
Meri makeup queen thnx",,1,2020-01-06 06:36:36+00:00,2020-01-06 06:36:36+00:00,0,hi dearsimple n gorgeous makeup look k liye aap awesome ho dear sneha meri makeup queen thnx,hi dearsimple n gorgeous makeup look k liye aap awesome ho dear sneha meri makeup queen thnx,0.0,0,1,0.4793736,0.03971223,0.05711584,0.90317196,awesome ho dear sneha meri makeup queen thnx for the gorgeous makeup look k liye aap awesome ho dear sneha meri makeup queen thnx for the gorgeous makeup look k liye a,[],[]
19,80,3322317,1503,81922,3185293,Lakme powder foundation shade name plsss,,0,2020-01-06 07:01:14+00:00,2020-01-06 07:01:14+00:00,0,lakme powder foundation shade name plss,lakme powder foundation shade name plss,0.0,0,1,0.33893478,0.24500567,0.24534021,0.50965416,lakme powder foundation shade name plss.,['foundation'],['Neutral']
20,83,1965522,53045,30843,1039700,Looking so cute 🌷😍,,1,2020-01-06 07:41:06+00:00,2020-01-06 07:41:06+00:00,0,looking cute,looking cute : tulip : :smiling_face_with_heart-eyes :,0.0,0,1,0.3424309,0.09127773,0.26074424,0.647978,Looking cute!,['Looking'],['Positive']
21,84,634534,53045,30843,659696,Very prity 👌,,1,2020-01-06 07:45:11+00:00,2020-01-06 07:45:11+00:00,0,prity,prity : OK_hand :,0.0,0,1,0.23233442,0.33023804,0.24401139,0.42575055,prity prity prity prity prity prity prity prity prity,['prity prity prity'],['Neutral']
22,86,2266802,48408,32889,2508098,Ganda nemen. Thank you for the idea from Southern California ❤️❤️❤️,,0,2020-01-06 08:28:32+00:00,2020-01-06 08:28:32+00:00,0,ganda nemen thank idea southern california ️️,ganda nemen thank idea southern california : red_heart : :red_heart : :red_heart :,0.0,0,1,0.2799212,0.24236369,0.21469407,0.5429422,ganda nemen thank idea southern california                        ,['ganda'],['Positive']
23,97,2922871,48408,32889,3335834,"Very Nice! Very talented! Because of this vid, i will subscribe! Love this look! Galing ng Pinoy!",,0,2020-01-06 12:02:54+00:00,2020-01-06 12:02:54+00:00,0,nice talented vid subscribe love look galing ng pinoy,nice talented vid subscribe love look galing ng pinoy,0.0,0,1,0.2765484,0.016875647,0.07234738,0.910777,nice talented vid subscribe love look galing ng pinoy.,['vid'],['Positive']
24,99,1681415,1503,81922,1402935,Heyy!! Looking beautiful!! Lots of love!!♥️♥️♥️ What is ur shade in lakme 9 to 5 primer plus matte powder foundation...??,,1,2020-01-06 13:05:16+00:00,2020-01-06 13:06:43+00:00,0,heyy looking beautiful lot love️️ shade lakme 9 5 primer plus matte powder foundation,heyy looking beautiful lot love : heart_suit : :heart_suit : :heart_suit : shade lakme 9 5 primer plus matte powder foundation,0.0,0,1,0.40648037,0.012871983,0.034316055,0.95281196,heyy looking beautiful lot love shade lakme 9 5 primer plus matte powder foundation plus matte powder foundation plus a matte matte powder foundation plus a matte matte powder foundation plus a matte matte powder foundation plus a matte matte powder foundation.,['shade lakme'],['Positive']
25,109,3024126,37866,28032,1989783,"Well, it feels good to join 4 seconds after it's uploaded",,23,2020-01-06 14:41:06+00:00,2020-01-06 14:41:06+00:00,0,well feel good join 4 second uploaded,well feel good join 4 second uploaded,0.0,0,1,0.20575449,0.018130759,0.055996526,0.92587274,Well feel good join 4 second uploaded 4 second uploaded 4 second uploaded 4 second uploaded 4 second uploaded 4 second uploaded 4 second uploaded 4 second uploaded 4 second uploaded 4 second uploaded 4 second uploaded 4 second uploaded 4 second uploaded 4 second uploaded 4 second uploaded 4 second uploaded 4 second uploaded 4 second uploaded 4 second uploaded 4 second uploaded,['join 4 second uploaded'],['Positive']
26,114,4393912,37866,28032,2129004,José the kind of Zuniga to wash his hands before taking a shower,,526,2020-01-06 14:41:32+00:00,2020-01-06 14:41:32+00:00,0,josé kind zuniga wash hand taking shower,josé kind zuniga wash hand taking shower,0.0,0,1,0.17264761,0.15060118,0.1969234,0.6524754,wash hand taking shower.,['shower'],['Neutral']
27,115,2665753,37866,28032,3085575,Really early 💗💗💗💗,,1,2020-01-06 14:41:35+00:00,2020-01-06 14:41:35+00:00,0,really early,really early : growing_heart : :growing_heart : :growing_heart : :growing_heart :,0.0,0,1,0.16120589,0.5792306,0.32334962,0.097419776,Really early.,[],[]
28,116,2334076,37866,28032,2602796,Excellent work u inspired me so much that I have become a playboy now,,1,2020-01-06 14:41:36+00:00,2020-01-06 14:41:36+00:00,0,excellent work inspired much become playboy,excellent work inspired much become playboy,0.0,0,1,0.24839278,0.0074458234,0.01260138,0.9799528,"Excellent work, inspired much to become a playboy.",['work'],['Neutral']
29,117,3696313,37866,28032,2210687,I love this already,,1,2020-01-06 14:41:56+00:00,2020-01-06 14:41:56+00:00,0,love already,love already,0.0,0,1,0.1600017,0.033288673,0.057451952,0.90925944,Love already love it!,[],[]
30,121,3852036,37866,28032,2895359,Nice .. good advice,,0,2020-01-06 14:42:09+00:00,2020-01-06 14:42:09+00:00,0,nice good advice,nice good advice,0.0,0,1,0.24064972,0.013846208,0.104490496,0.88166326,nice good advice.,['advice'],['Positive']
31,122,4009970,37866,28032,2910185,Pretty early.. I love u so much <33,,1,2020-01-06 14:42:10+00:00,2020-01-06 14:42:10+00:00,0,pretty early love much < 33,pretty early love much < 33,0.0,0,1,0.19191648,0.13077372,0.2782814,0.5909449,Pretty early love much  33.,['33'],['Positive']
32,127,1448115,37866,28032,3426837,It feels good to know about my self 😂,,2,2020-01-06 14:42:20+00:00,2020-01-06 14:42:20+00:00,0,feel good know self,feel good know self : face_with_tears_of_joy :,0.0,0,1,0.22224675,0.03408097,0.08824806,0.877671,Feel good know self.,[],[]
33,130,4023125,37866,28032,2373192,So early someone hasn’t even commented the 9 things yet,,149,2020-01-06 14:42:31+00:00,2020-01-06 14:42:31+00:00,0,early someone not even commented 9 thing yet,early someone not even commented 9 thing yet,0.0,0,1,0.39756522,0.6688685,0.2160918,0.11503977,Early Someone Not even commented 9 thing yet.,[],[]
34,131,1972778,37866,28032,1894987,Its awesome to be here early 🇦🇺😂,,0,2020-01-06 14:42:33+00:00,2020-01-06 14:42:33+00:00,0,awesome early 🇦🇺,awesome early : Australia : :face_with_tears_of_joy :,0.0,0,1,0.1852065,0.011852814,0.034450497,0.9536967,awesome early .,[],[]
35,134,2523612,37866,28032,3583294,Please like this comment ❣,,1,2020-01-06 14:42:45+00:00,2020-01-06 14:42:45+00:00,0,please like comment,please like comment : heart_exclamation :,0.0,0,1,0.23439756,0.43048784,0.2866912,0.28282094,Please like comment.,['comment'],['Neutral']
36,135,711205,37866,28032,2291335,No summary yess I'm early,,0,2020-01-06 14:42:45+00:00,2020-01-06 14:42:45+00:00,0,no summary yes early,no summary yes early,0.0,0,1,0.14668088,0.75183606,0.19608493,0.05207907,No summary yes early.,['summary'],['Neutral']
37,137,4095456,37866,28032,113429,im early kinda HI JOSE👋,,0,2020-01-06 14:42:47+00:00,2020-01-06 14:42:47+00:00,0,early kind hi jose,early kind hi jose : waving_hand :,0.0,0,1,0.21699142,0.22264645,0.28064364,0.4967099,Early Kind Hi joseph savage savage savage savage savage savage savage savage savage savage savage savage savage sa,['joseph savage savage'],['Neutral']
38,139,4696998,37866,28032,790879,Another great video great content my brother! Thumbs up 👍 🔥🔥🔥🔥,,1,2020-01-06 14:42:48+00:00,2020-01-06 14:42:48+00:00,0,another great video great content brother thumb,another great video great content brother thumb : thumbs_up : : fire : :fire : :fire : :fire :,0.0,0,1,0.22748262,0.00753455,0.015932329,0.9765331,Another great video great content brother thumbs up.,"['video', 'content']","['Positive', 'Positive']"
39,140,3732949,37866,28032,2270581,Jose you make fire videos,,0,2020-01-06 14:42:49+00:00,2020-01-06 14:42:49+00:00,0,jose make fire video,jose make fire video,0.0,0,1,0.13758992,0.48079076,0.15261635,0.36659288,jose make fire video.,['jose'],['Neutral']
40,141,563652,37866,28032,2193147,I’m so early that there isn’t a summary guy here 🥴,,634,2020-01-06 14:42:51+00:00,2020-01-06 14:43:28+00:00,0,early not summary guy,early not summary guy : woozy_face :,0.0,0,1,0.24212246,0.7708722,0.19367485,0.035453055,Early not summary guy.,['guy'],['Negative']
41,143,4277157,37866,28032,3135945,Pretty sure there's been a video on this done by you😏😏,,1,2020-01-06 14:42:53+00:00,2020-01-06 14:42:53+00:00,0,pretty sure video done,pretty sure video done : smirking_face : :smirking_face :,0.0,0,1,0.17575996,0.23442629,0.36713725,0.39843652,Pretty sure video done.,['video'],['Positive']
42,144,4158588,37866,28032,2232918,Become the best version of yourself guys! 2020 is your year💪,,0,2020-01-06 14:42:54+00:00,2020-01-06 14:42:54+00:00,0,become best version guy 2020 year,become best version guy 2020 year : flexed_biceps :,0.0,0,1,0.3823341,0.012570109,0.021892348,0.96553755,2020 best version guy 2020 year old.,['guy'],['Positive']
43,145,4279351,37866,28032,1891923,BEEN FOLLOWING YOU SINCE 2015 USO🙏🏽❣👊🏽💯,,0,2020-01-06 14:42:57+00:00,2020-01-06 14:42:57+00:00,0,following since 2015 uso,following since 2015 uso : folded_hands_medium_skin_tone : :heart_exclamation : :oncoming_fist_medium_skin_tone : :hundred_points :,0.0,0,1,0.1040809,0.14187089,0.21056485,0.6475643,Following since 2015 uso.,[],[]
44,146,4124985,37866,28032,1384433,Josee big fun 😎 one lyk from uh,,0,2020-01-06 14:43:04+00:00,2020-01-06 14:43:04+00:00,0,josee big fun one lyk uh,josee big fun : smiling_face_with_sunglasses : one lyk uh,0.0,0,1,0.18164766,0.068542786,0.14419408,0.7872631,joseph big fun one lyk uh uh lyk uh lyk uh lyk uh lyk uh lyk uh lyk uh lyk uh lyk u,['joseph'],['Positive']
45,148,1916632,37866,28032,1600517,Love the video I appreciate you helping me out everyday,,0,2020-01-06 14:43:10+00:00,2020-01-06 14:43:10+00:00,0,love video appreciate helping everyday,love video appreciate helping everyday,0.0,0,1,0.24043544,0.05849601,0.1834925,0.7580115,love video appreciate helping everyday.,['video'],['Positive']
46,149,3283596,37866,28032,3446784,Please make a video on how to grow hair fast..,,0,2020-01-06 14:43:14+00:00,2020-01-06 14:43:14+00:00,0,please make video grow hair fast,please make video grow hair fast,0.0,0,1,0.26307914,0.5828012,0.25618264,0.16101618,Please make video grow hair fast.,['hair'],['Negative']
47,150,4275809,37866,28032,2722745,Jose do a house tour,,0,2020-01-06 14:43:22+00:00,2020-01-06 14:43:22+00:00,0,jose house tour,jose house tour,0.0,0,1,0.08712235,0.1506766,0.21997853,0.6293449,jose house tour st jose house tour st jose house tour st jose house tour st jose house tour st jose house tour st jose house tour st jose house tour st jose house tour st,['tour'],['Neutral']
48,151,1547302,37866,28032,1409511,Love ur videoz,,0,2020-01-06 14:43:23+00:00,2020-01-06 14:43:23+00:00,0,love videoz,love videoz,0.0,0,1,0.24971195,0.08342624,0.10364899,0.81292474,love videoz love love videoz love videoz love videoz love videoz love videoz love videoz love videoz love videoz love videoz love videoz love videoz love videoz love videoz love videoz love videoz love videoz love videoz love videoz love videoz love video,[],[]
49,152,3230792,37866,28032,1462332,You know you're early if the summary guy is not here.,,0,2020-01-06 14:43:23+00:00,2020-01-06 14:43:23+00:00,0,know early summary guy not,know early summary guy not,0.0,0,1,0.19080162,0.7550192,0.18793875,0.057041954,early summary guy not known.,['guy'],['Negative']
50,155,1283837,37866,28032,635121,Im so early that the summary guy isnt even here yet,,0,2020-01-06 14:43:33+00:00,2020-01-06 14:43:33+00:00,0,early summary guy not even yet,early summary guy not even yet,0.0,0,1,0.27559155,0.6591897,0.26432306,0.07648726,Early summary guy not even yet.,['summary'],['Negative']
51,156,1898996,37866,28032,1275780,1 thing anyone one can do is watching tmf,,1,2020-01-06 14:43:42+00:00,2020-01-06 14:43:42+00:00,0,1 thing anyone one watching tmf,1 thing anyone one watching tmf,0.0,0,1,0.21926561,0.8005843,0.07102369,0.12839195,1 thing anyone watching tmf?,['watching'],['Neutral']
52,157,2378203,37866,28032,1811820,There's a theory that when you are 2 mins late Jose will not like your comment,,0,2020-01-06 14:43:49+00:00,2020-01-06 14:43:49+00:00,0,theory 2 min late jose not like comment,theory 2 min late jose not like comment,0.0,0,1,0.15400714,0.8078858,0.15807547,0.034038726,theory 2 min late jose not like comment.,['theory'],['Neutral']
53,158,3302001,48408,32889,2225264,Gumamit ka rin po ba ng eyelid tape ?thanks po,,0,2020-01-06 14:43:54+00:00,2020-01-06 14:43:54+00:00,0,gumamit ka rin po ba ng eyelid tape thanks po,gumamit ka rin po ba ng eyelid tape thanks po,0.0,0,1,0.47135323,0.3092078,0.25516388,0.43562832,gumamit ka rin po ba ng eyelid tape thanks po gumamit ka rin po ba ng eyelid tape thanks po gumamit ka rin po ba ng eyelid tape thanks po gumamit ka rin po ba ng,"['eyelid tape', 'tape']","['Positive', 'Positive']"
54,159,4027041,37866,28032,3341694,0:20 RIP to the earphone users at high volume,,102,2020-01-06 14:43:54+00:00,2020-01-06 14:43:54+00:00,0,020 rip earphone user high volume,020 rip earphone user high volume,0.0,0,1,0.0703101,0.22906606,0.15329818,0.6176358,020 rip earphone user high volume earphones high volume earphones high volume earphones high volume earphones high volume earphones high volume earphones high volume earphones high volume earphones high volume earphones high volume,['rip earphone user'],['Positive']
55,160,3816926,37866,28032,2084900,I know i am not first but can i get a heart?🥺🙏,,1,2020-01-06 14:43:54+00:00,2020-01-06 14:43:54+00:00,0,know not first get heart,know not first get heart : pleading_face : :folded_hands :,0.0,0,1,0.15372735,0.79514635,0.1472515,0.057602137,Know not to first get heart.,[],[]
56,161,4682933,37866,28032,3145945,"My friend feels down,do you think theres a chance that he can get back on track and be the man he wants to be?",,0,2020-01-06 14:43:55+00:00,2020-01-06 14:43:55+00:00,0,friend feel downdo think chance get back track man want,friend feel downdo think chance get back track man want,0.0,0,1,0.18520516,0.7744819,0.16831821,0.057199895,Think chance get back track man want to get back on track man want to get back on track man want to get back on track man want to get back on track man want to get back on track man want to get back on track man want to get back on track man want to get back on track man want,['track'],['Neutral']
57,163,1128322,37866,28032,3542343,I grow little bearded ...beard is not good but to cover my acne is it good or bad plz tell,,0,2020-01-06 14:44:06+00:00,2020-01-06 14:44:06+00:00,0,grow little bearded beard not good cover acne good bad plz tell,grow little bearded beard not good cover acne good bad plz tell,0.0,0,1,0.32869944,0.7299329,0.21851867,0.051548418,good cover acne good bad plz tell me how to grow little bearded beard not good cover acne good bad plz tell me how to grow little bearded beard not good cover acne good bad plz tell me how to grow little bearded beard not good cover acne good bad plz,[],[]
58,164,1793061,37866,28032,1796026,"Jose : you are handsome.
Me:Girls,Stand in the line",,327,2020-01-06 14:44:22+00:00,2020-01-06 14:44:22+00:00,0,jose handsome megirlsstand line,jose handsome megirlsstand line,0.0,0,1,0.24436976,0.019277725,0.058486223,0.9222361,jose handsome megirlsstand line line.,['jose'],['Neutral']
59,165,1694725,37866,28032,1989783,Ad skip button 5:10,,0,2020-01-06 14:44:24+00:00,2020-01-06 14:44:24+00:00,0,ad skip button 510,ad skip button 510,0.0,0,1,0.14280078,0.2651205,0.23057552,0.50430405,skip button 510.,[],[]
60,167,2234506,37866,28032,3234333,where is the summary guy??,,0,2020-01-06 14:44:51+00:00,2020-01-06 14:44:51+00:00,0,summary guy,summary guy,0.0,0,1,0.28264657,0.21502456,0.26439598,0.5205795,summary guy.,['guy'],['Neutral']
61,168,1041880,37866,28032,2284131,Bet Jose doesn’t like comments,,0,2020-01-06 14:44:52+00:00,2020-01-06 14:44:52+00:00,0,bet jose not like comment,bet jose not like comment,0.0,0,1,0.1669124,0.734814,0.21406604,0.05111993,jose not like commenting.,['jose'],['Neutral']
62,169,3673607,37866,28032,2674025,He just scrunched up the T-shirt in the thumbnail to make it look cheap,,0,2020-01-06 14:45:00+00:00,2020-01-06 14:45:00+00:00,0,scrunched tshirt thumbnail make look cheap,scrunched tshirt thumbnail make look cheap,0.0,0,1,0.26261085,0.89423966,0.08750984,0.01825043,Scrunched tshirt thumbnail make scrunched tshirt thumbnail look cheap.,['tshirt thumbnail'],['Negative']
63,170,4230599,37866,28032,1241616,"0:19
Watch out for your eardrums if you're wearing headphones",,104,2020-01-06 14:45:06+00:00,2020-01-06 14:45:06+00:00,0,019 watch eardrum wearing headphone,019 watch eardrum wearing headphone,0.0,0,1,0.10747239,0.564053,0.2085741,0.22737297,019 watch eardrum wearing headphone earbuds headphone earbuds. 019 watch eardrum wearing headphone eardrum wearing headphone earbuds. 019 watch eardrum wearing headphone eardrum wearing headphone eardrums. 019 watch ,"['wearing', 'earbuds', 'earbuds']","['Neutral', 'Neutral', 'Neutral']"
64,171,2349898,37866,28032,3396760,"Jose is kind of my role model. He is everything I dreamed of. He is successful, stylish and smart. He is a person who doesn't chase money but chases success. Hands of man...",,189,2020-01-06 14:45:10+00:00,2020-01-06 14:45:10+00:00,0,jose kind role model everything dreamed successful stylish smart person not chase money chase success hand man,jose kind role model everything dreamed successful stylish smart person not chase money chase success hand man,0.0,0,1,0.30980217,0.3891479,0.17457928,0.4362728,smart person not chase money chase success hand man model everything dreamed successful stylish smart person not chase money chase success hand man model everything dreamed successful stylish smart person not chase money chase success hand man model everything dreamed successful stylish smart person not chase money chase success hand man model everything dreamed successful,"['chase', 'man model']","['Neutral', 'Positive']"
65,172,3865081,37866,28032,2950019,Early enough from Germany!,,0,2020-01-06 14:45:15+00:00,2020-01-06 14:45:15+00:00,0,early enough germany,early enough germany,0.0,0,1,0.07355027,0.4601732,0.29266608,0.24716073,Early enough Germanyy.,['Early'],['Neutral']
66,173,4093763,37866,28032,2995089,Thanks for tips jose 👌,,0,2020-01-06 14:45:16+00:00,2020-01-06 14:45:16+00:00,0,thanks tip jose,thanks tip jose : OK_hand :,0.0,0,1,0.15150523,0.121247925,0.15535046,0.7234016,Thanks tip joseph.,['joseph'],['Positive']
67,175,2016784,37866,28032,515861,Ad ends at 5:11 bois,,6,2020-01-06 14:45:55+00:00,2020-01-06 14:45:55+00:00,0,ad end 511 bois,ad end 511 bois,0.0,0,1,0.13549496,0.4479599,0.2677631,0.28427702,ad end 511 bois.,[],[]
68,176,1980062,37866,28032,101904,Never been so early in my life.,,0,2020-01-06 14:46:02+00:00,2020-01-06 14:46:02+00:00,0,never early life,never early life,0.0,0,1,0.15719734,0.6993953,0.19185184,0.10875283,Early life is never early.,['Early'],['Positive']
69,177,3241543,37866,28032,3299977,"Bro u r rellaly hanxom 
i want to copy all style",,0,2020-01-06 14:46:13+00:00,2020-01-06 14:46:13+00:00,0,bro r rellaly hanxom want copy style,bro r rellaly hanxom want copy style,0.0,0,1,0.1799282,0.601177,0.20692916,0.1918939,r rellaly hanxom want copy style.,['copy style'],['Negative']
70,178,1668371,37866,28032,2938218,5:10 here you go,,0,2020-01-06 14:46:24+00:00,2020-01-06 14:46:24+00:00,0,510 go,510 go,0.0,0,1,0.15759242,0.25165117,0.2681275,0.4802214,510 go.,[],[]
71,180,3149027,37866,28032,2325163,I know I am early coz the summary guy isn't here,,0,2020-01-06 14:46:53+00:00,2020-01-06 14:46:53+00:00,0,know early coz summary guy not,know early coz summary guy not,0.0,0,1,0.18304996,0.67203206,0.24360946,0.084358454,early coz summary guy not knowing early coz summary guy not knowing early coz summary guy not knowing early coz summary guy not knowing early coz summary guy not knowing early coz summary guy not knowing early coz,['guy'],['Negative']
72,181,4520637,37866,28032,3127128,5:09 here it is😉,,1,2020-01-06 14:46:54+00:00,2020-01-08 04:30:16+00:00,0,509,509 : winking_face :,0.0,0,1,0.18856314,0.27450335,0.23470457,0.4907921,509 509 509,['509'],['Neutral']
73,185,4132125,37866,28032,20751,This ringtone is so annoying. Please do something with it,,0,2020-01-06 14:47:50+00:00,2020-01-06 14:47:50+00:00,0,ringtone annoying please something,ringtone annoying please something,0.0,0,1,0.09769381,0.645658,0.28888878,0.06545322,annoying ringtone annoying please something.,['ringtone'],['Negative']
74,187,1453684,37866,28032,2469104,Love ur vids bro. Keep it up💪🏻,,1,2020-01-06 14:48:05+00:00,2020-01-06 14:48:05+00:00,0,love vids bro keep,love vids bro keep : flexed_biceps_light_skin_tone :,0.0,0,1,0.18201685,0.06340458,0.10116189,0.83543354,love vids bro keep up the good work.,[],[]
